@relation 'wavelet_glcm_hsv_hu_lbp-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute '0.3  f10+0.291f9+0.287f3+0.286f4+0.268f6...' numeric
@attribute '0.345f1+0.324f26-0.303f29+0.3  f7+0.286f2...' numeric
@attribute '-0.453f5+0.429f18+0.38 f31+0.329f11+0.302f13...' numeric
@attribute 0.554f25-0.453f17+0.289f26-0.245f21+0.244f5... numeric
@attribute 0.518f18+0.462f31+0.348f17-0.301f11-0.292f12... numeric
@attribute 0.693f15-0.648f14-0.284f16+0.078f12-0.061f18... numeric
@attribute -0.91f16+0.407f14+0.043f11-0.038f13-0.037f8... numeric
@attribute -0.704f15-0.629f14-0.291f16-0.083f7-0.066f11... numeric
@attribute '0.47 f7+0.396f10-0.384f8+0.287f5+0.253f18...' numeric
@attribute '0.756f11-0.552f13-0.249f12+0.188f21+0.1  f28...' numeric
@attribute 0.745f21+0.364f28-0.286f11+0.205f26-0.174f7... numeric
@attribute -0.764f12+0.578f13-0.166f8+0.132f11+0.086f7... numeric
@attribute 0.685f7+0.495f8+0.218f26+0.211f9-0.179f1... numeric
@attribute class {Highway,Pasture,Residential,River}

@data
-1.897415,0.047245,-0.464475,1.737027,0.283595,1.505758,0.510699,0.46848,0.150059,0.21583,-0.369359,-0.374111,-0.381446,Highway
0.470846,0.7458,0.047133,2.797392,1.557123,-1.835357,-0.422623,0.026171,0.401298,-0.740835,-1.70383,0.675109,-0.953562,Highway
-0.306963,0.982443,0.227367,1.049002,-1.159634,-0.265594,-1.163238,1.048575,1.535674,1.601426,0.048423,0.383055,0.580313,Highway
-0.982972,0.493151,1.936072,0.068216,1.495463,0.116749,1.401095,-0.984976,0.156227,-2.018842,-1.234941,1.205438,-0.757718,Highway
-1.507626,1.056544,1.355716,1.352737,0.514296,0.362838,1.231097,-1.033059,-1.579417,0.353402,0.304809,-0.234416,1.217971,Highway
7.273263,-4.14104,-0.169582,2.19383,0.643612,1.048015,-1.384359,-0.097866,-1.193065,-0.247775,-0.119575,-0.422557,-0.912027,Highway
-1.186544,0.901582,-0.624746,1.768485,1.46839,-0.328355,-0.399032,-1.253283,-0.14999,0.162806,0.174098,-1.013409,0.036971,Highway
-1.754814,1.142659,-0.271112,1.721701,0.756929,0.928414,-1.275274,-0.180504,-1.074939,0.28001,0.776087,0.841374,1.135227,Highway
-0.429089,0.925625,0.793996,-0.451378,1.342732,-1.226052,1.30044,0.498984,0.569893,0.061009,0.402915,-0.289746,-0.185675,Highway
-2.090869,0.261426,-1.362771,0.938072,1.141082,-0.432675,-1.186944,1.140704,-0.436716,0.165666,-0.053449,-0.485986,0.514141,Highway
-0.614813,0.683151,-1.04146,0.896859,-0.197932,-0.300409,-0.379106,-1.468966,1.388993,0.60933,-0.796909,0.791211,-0.095284,Highway
0.740259,1.947396,-0.074081,0.584494,0.375483,-1.191028,1.31173,0.384472,0.095492,0.661292,-0.816615,-0.528389,-0.191103,Highway
-0.635842,-0.239495,3.471022,-0.08312,0.610385,0.274675,0.482041,1.666545,0.776826,-0.420917,-0.163991,-0.488372,0.949487,Highway
-1.248679,1.161289,1.037001,0.482887,2.260151,0.040602,0.453949,1.772545,0.472307,-1.330565,-1.079417,-1.056092,-0.488434,Highway
0.58933,-1.106429,0.395475,0.422684,1.011357,0.013775,0.634897,1.63522,2.83326,1.111026,-1.056083,0.178265,1.026431,Highway
1.662687,0.720275,-2.735462,0.453757,-0.299026,0.193563,0.469118,1.686886,0.027545,0.023566,-0.54685,-0.558008,-0.377308,Highway
5.124051,-0.394887,-2.392221,0.193925,-0.000806,-1.761682,-0.50714,-0.031752,0.257373,0.110816,0.112079,0.15359,-0.476127,Highway
0.065584,2.141401,-0.729646,0.590595,-1.482508,-0.891622,1.26823,0.299222,-1.015314,0.856663,0.080849,-0.341618,0.709415,Highway
-0.868339,1.690944,0.08298,1.794634,-0.203453,-0.969789,1.251649,0.47283,-0.348146,-0.479526,0.188777,-0.034262,0.47127,Highway
-0.496029,1.844027,1.973114,2.414988,1.108632,1.529241,0.6159,0.207421,0.048847,0.190214,-2.159499,-0.504104,-1.051126,Highway
-1.248207,0.755903,-0.369104,0.594807,1.636818,0.794159,-1.235222,-0.214775,-0.11912,0.26114,-0.216929,0.285888,-0.181058,Highway
-0.367992,0.942131,0.420455,0.745266,-0.228937,0.320829,1.426233,-0.971666,1.390323,-1.112223,-1.342441,0.07603,-1.150681,Highway
5.75951,-0.267865,-1.122101,-0.453903,1.175063,1.42436,0.51993,0.259722,0.368881,0.245396,-0.385326,-0.501779,-0.33785,Highway
-1.796269,-0.004293,-1.838074,0.969306,1.704808,1.261434,0.395212,0.554307,0.209904,-0.013321,1.539764,-0.279856,1.302259,Highway
-1.642094,0.453861,-0.766355,1.643088,0.29647,0.237535,1.265453,-0.784888,-0.741208,-0.344833,-0.062059,0.290928,-0.23272,Highway
0.290534,1.634659,-1.345524,0.372738,-0.023189,1.512022,0.539756,0.214872,0.351102,0.354444,-0.741744,-0.695291,0.09384,Highway
-0.890033,0.495914,-0.502357,0.838298,-2.450186,-0.196351,-1.564469,1.475444,0.567274,-1.313289,1.073749,2.118023,0.34186,Highway
0.822025,-1.543143,-0.506947,2.369361,-0.270226,-1.632481,-0.420195,0.170377,0.180819,0.084861,-0.818221,-0.258155,-1.995769,Highway
-1.851489,1.645114,-0.620468,2.161461,1.946762,-1.059812,1.134173,0.570709,-1.474671,-0.453831,1.274759,-0.227683,1.682162,Highway
-0.558792,0.861555,-0.245639,1.618939,-0.646542,0.223758,0.545397,1.851029,0.138754,0.381631,-0.168391,0.724484,-0.609596,Highway
8.116765,-4.454471,3.310719,2.557129,0.955371,-0.305748,-0.704397,-1.659452,-0.798724,-2.499352,-0.739994,-0.106496,-1.559327,Highway
-2.199884,-0.928552,0.229823,-0.293857,-0.242279,0.171105,0.431984,1.827959,-0.331901,-0.215034,-0.408985,0.755149,0.239827,Highway
-0.520636,0.863139,0.352028,0.074636,1.279512,0.94767,-1.242018,-0.170198,1.948446,-0.132644,0.508031,-0.384521,-0.320581,Highway
-1.173954,0.573656,-0.201396,1.904627,-0.179277,-0.988847,1.30836,0.544137,0.577337,-0.24803,-0.577265,-0.56931,-0.56305,Highway
-0.699506,0.32512,-0.439096,-0.542614,0.308874,-1.696902,-0.3628,-0.117444,1.680967,1.619269,0.01162,-0.055057,0.213594,Highway
3.233964,0.828399,-0.046684,-0.098311,-1.480594,-0.086658,-0.625581,-1.879318,0.756375,-0.952001,-0.147837,-0.063229,0.709355,Highway
-2.86469,-0.882422,-0.345129,-0.45374,1.158919,-1.697393,-0.589627,0.090737,-0.556599,-0.098856,1.544897,-0.134143,0.918065,Highway
-0.852329,0.062959,1.739267,-1.085996,0.382301,0.249766,0.553022,2.030933,0.918089,-1.133343,1.10886,-0.05636,-0.710624,Highway
0.305652,0.88143,-0.914958,-1.026856,-1.168003,1.747208,0.538112,0.373459,1.12378,-0.211435,0.954271,0.572989,-0.13044,Highway
-1.256902,0.089243,-1.08163,0.866279,1.131197,-1.729673,-0.476992,0.145207,0.294931,-0.562781,-0.146099,-0.167411,-1.086396,Highway
1.038475,-0.777196,-0.422759,2.282133,-0.8585,-0.247268,-1.338744,1.295851,2.210283,-0.429307,0.133461,1.199881,1.124164,Highway
-0.199082,0.949559,-2.119345,1.674632,1.18513,-0.511413,-1.19013,1.199322,-0.284021,0.718576,0.563022,0.026263,0.151084,Highway
-0.815201,0.430607,-0.662679,0.826656,-0.617741,1.628375,0.542835,0.455039,2.01635,0.401038,1.215024,0.240011,0.349431,Highway
-0.143399,1.570473,-1.131295,1.761122,-0.291671,1.690971,0.527703,0.24548,0.745026,-0.248799,-0.111499,0.596966,0.590162,Highway
-2.499474,0.495147,-0.446238,1.373063,3.778118,-0.125617,0.521541,1.777857,-0.049336,-0.976613,-0.652654,-0.474022,0.05354,Highway
-1.052256,1.701458,-0.207037,1.910383,0.091061,-1.138711,1.271316,0.583444,-1.200142,-1.624025,-0.304142,1.058167,-0.16699,Highway
-0.575575,-0.008207,2.115806,0.644691,-0.1063,0.453452,1.281103,-1.103986,0.662806,-0.563925,0.054375,-0.472887,1.056497,Highway
0.572432,-0.558005,-1.860223,1.637486,0.699591,0.889278,-1.220166,0.069578,0.624777,0.021814,1.025934,0.357757,-0.477928,Highway
0.298562,-1.589033,-2.100938,1.822005,1.04431,0.834959,-1.161351,0.172587,0.124805,0.483479,1.341886,-0.341053,-0.419539,Highway
-0.049909,0.541145,-1.994629,2.311984,-1.198522,-0.097584,-0.536583,-1.301987,0.350604,-1.039628,0.47614,0.422427,0.223971,Highway
-1.295873,1.044703,-0.131209,1.09337,1.149925,0.864119,-1.152178,-0.16242,0.343137,0.711453,0.105235,0.26112,-0.196854,Highway
-2.726938,-0.959166,2.401625,-1.053874,2.616956,-1.360883,1.178775,0.549721,-0.396092,-0.571682,1.027401,0.26551,1.266908,Highway
-0.193391,2.235654,-0.261962,1.989615,-0.365449,-1.735946,-0.418782,-0.142589,-0.490155,0.256806,-1.696093,0.626407,-0.346995,Highway
0.359748,1.957374,-0.733816,0.455651,0.802732,0.069272,0.488935,1.611021,-0.046886,0.279829,-0.455208,0.153924,0.112312,Highway
-1.345898,1.243052,-0.459184,0.416303,0.577226,1.027006,-1.463368,-0.173447,-0.557738,-1.296731,0.394373,-0.22085,0.233259,Highway
10.574792,-5.468647,-0.724553,1.78641,0.590887,0.201576,0.445436,1.855917,-0.909935,-1.042629,-0.765084,0.102856,0.972851,Highway
-0.421467,1.22642,-2.038264,2.327817,-0.11525,0.974138,-1.169037,-0.082907,-0.065135,0.267802,0.643614,0.130391,0.374947,Highway
8.356902,-4.189713,-1.652153,1.738991,0.010073,0.236833,0.424891,1.909089,-0.572013,-0.379695,-0.772873,-0.297987,-0.153033,Highway
-0.747329,1.28857,1.005422,0.810124,0.08369,0.316282,1.33693,-0.925738,-0.485922,-0.172689,0.813353,1.140232,0.184065,Highway
-1.776614,0.463143,-0.984911,-0.429859,2.806032,-0.216214,0.47762,1.748377,0.106402,0.611738,0.594227,0.538757,0.384093,Highway
-1.231638,-0.018323,-0.035048,0.740133,0.803678,1.396511,0.58716,0.391856,0.999903,0.510736,-0.973577,1.078357,-0.727121,Highway
8.181219,-4.653692,-1.668025,2.84331,-0.899128,0.487432,1.34274,-0.830202,-1.36533,-0.001101,-0.112366,-0.398467,-0.625287,Highway
2.656496,-3.83599,0.088987,1.783539,-0.328579,-0.259716,-1.466057,1.662303,1.456846,-1.401534,0.384165,-0.415952,-1.620111,Highway
-2.705267,-0.024922,-0.193514,0.7823,1.425167,-0.465411,-0.496387,-1.262926,-1.000621,0.610633,1.353127,1.384339,0.823322,Highway
-0.864679,0.380912,-1.990102,1.371391,0.097002,0.139982,0.478198,1.711329,0.121497,0.447826,-0.475604,-0.25972,0.187857,Highway
-2.383738,-0.045685,0.531388,-0.516089,2.919233,-0.244201,0.442595,1.782678,-0.446699,0.425462,0.271503,0.97783,0.708457,Highway
-0.989987,-1.114997,-0.838213,0.507596,1.901551,0.028735,1.272348,-0.592138,0.483092,0.61487,0.292642,-0.104642,-1.060469,Highway
1.078788,0.539866,0.067172,1.615973,-0.751635,0.507279,1.335315,-0.944039,2.453859,-0.414764,0.332748,-0.963277,1.033279,Highway
0.892537,0.397491,0.605173,1.935655,-0.130922,-0.280999,-1.238366,1.319019,1.601536,0.523508,1.058172,0.387514,-0.306647,Highway
0.112618,2.954248,-0.119833,0.442851,0.792203,-0.482596,-1.361122,1.064902,-0.661397,-0.466855,-0.682215,0.355431,-0.21058,Highway
1.604612,2.623665,-1.103843,0.804095,1.24773,1.452343,0.479408,0.272464,0.264758,-0.762418,-0.212598,0.212633,0.433603,Highway
-1.132483,-0.926498,3.479675,0.069773,0.847498,0.340747,1.311102,-1.08767,1.515474,0.587905,0.182365,-1.042437,0.716617,Highway
-1.884526,1.351002,-0.559125,2.200935,0.966018,-1.11721,1.222532,0.503194,-0.378169,1.018329,-0.048942,0.367413,0.722422,Highway
11.756042,-5.810749,1.437763,1.273927,2.480645,0.078972,1.309774,-1.139813,-1.195762,-0.541428,-0.603514,-0.398145,0.943004,Highway
-1.91495,-0.249419,0.179648,0.2709,0.821919,0.863388,-1.311077,-0.236313,-0.341575,0.241444,-0.311005,0.125798,0.077698,Highway
4.517009,-3.611604,-0.474859,4.730731,-1.305982,0.052618,-0.51248,-1.132921,-0.456502,-0.559185,0.673303,-1.265602,-1.076174,Highway
-1.925658,-0.807724,0.007544,-0.635159,0.13526,0.222541,1.262713,-0.836706,-0.562453,-0.147921,0.624002,0.434056,0.006962,Highway
-0.445299,1.594812,-1.437121,1.182462,1.92795,0.704614,-1.123796,-0.175324,-0.13967,0.538668,0.131327,0.152521,0.437592,Highway
-1.510083,-0.757927,1.41424,-1.067193,0.750425,-1.7289,-0.593199,-0.075767,-0.487706,-0.153229,0.786505,-0.81114,0.150359,Highway
-0.178985,2.121306,1.339017,1.542205,-1.242309,-0.035983,-0.44918,-1.698254,-1.141321,0.312286,-0.004445,-0.649971,-0.028414,Highway
-1.608636,-0.125739,1.207485,0.881466,-0.120947,-1.587527,-0.518094,-0.068056,0.255441,-0.784482,-0.449387,-0.736065,-0.271718,Highway
-2.347986,-1.423843,1.2092,-1.520864,-0.784799,-0.350739,-1.512147,1.292054,-0.411522,-0.147519,0.563319,0.701312,0.265796,Highway
0.556513,1.359149,-0.804292,1.882161,0.874445,-1.147933,1.289878,0.389218,0.510685,-0.239929,-1.082734,0.14956,0.141713,Highway
0.67039,1.267581,-1.354876,0.535286,-0.243639,-1.092987,1.297679,0.467977,0.207678,-0.697113,-0.238811,-0.536161,-0.496398,Highway
-0.849994,0.400339,0.184923,0.834111,-1.230162,-0.9597,1.349867,0.451399,1.506438,0.002016,-0.593517,-0.040207,0.059617,Highway
8.239798,-6.283298,-1.698342,3.99653,-0.992538,1.327566,-1.430449,0.084653,-1.400653,-0.271253,0.356806,-0.462363,-0.07491,Highway
1.163863,1.601499,0.358441,0.08231,-0.582846,-0.299744,-1.180665,1.014689,0.652227,1.574517,0.025198,-1.072819,-0.438946,Highway
-2.29711,-0.529083,-1.342547,1.132148,0.273708,-0.261734,-0.429221,-1.143544,0.622847,0.195056,1.105955,-0.15321,0.12764,Highway
-1.565465,0.766183,0.638411,1.190397,1.589846,-1.845944,-0.355272,-0.026448,0.678656,0.855946,-1.089789,0.260368,-0.206677,Highway
0.620847,1.579295,-1.663497,0.210113,0.11906,-0.387274,-1.197376,1.098976,0.396617,0.831345,0.509018,-0.79209,0.700427,Highway
0.189685,1.377518,-2.279582,0.984431,0.157724,0.288086,1.20588,-0.856026,-0.491899,0.693874,0.565259,-0.463846,0.517495,Highway
1.134658,1.278843,-0.988502,1.128759,-0.496971,0.334836,1.37915,-0.849566,-0.042282,0.244111,-0.534701,-0.48832,-1.713435,Highway
-0.201226,-1.3114,1.302356,-0.881025,0.036417,-1.999101,-0.634339,0.017294,1.219988,-0.146066,-0.289652,1.549362,-1.664422,Highway
-2.787262,-0.471507,0.375528,-0.047957,2.158687,-1.292148,1.195755,0.613123,-0.334629,-0.274365,0.280246,0.08899,0.44494,Highway
1.72365,-0.256707,-1.76443,1.197161,1.822798,0.0235,0.474301,1.736332,0.915274,0.721302,1.010852,-0.439948,0.569829,Highway
4.68949,-0.328055,-0.861891,0.962727,-1.997924,0.34312,0.591109,1.565821,0.610681,1.568508,-0.826207,0.001857,0.472844,Highway
9.565658,-5.65427,-0.481488,0.817835,-1.76353,0.587603,1.311839,-0.969759,-1.522582,-0.11707,0.687492,-1.678096,-0.276841,Highway
-1.903066,-0.072258,-0.731785,0.466671,1.412723,0.118727,1.258867,-0.681708,0.5805,-0.227816,-0.16438,-0.808717,-0.649638,Highway
1.945898,-2.64802,-1.618105,4.184208,-1.78586,-0.781212,1.301672,0.79174,0.5733,-0.173497,0.038662,-0.285834,-0.67339,Highway
-1.845881,0.0196,0.008578,-0.082376,2.901276,0.005995,1.193295,-0.672089,0.442569,-0.998834,1.193412,-0.577299,0.30046,Highway
0.020845,0.519497,-0.321451,1.012572,1.013399,0.243129,1.344821,-0.833097,1.012492,-0.882585,-1.275605,-1.674701,-0.828617,Highway
8.396089,-4.120311,0.760328,2.137401,-0.585566,-0.985744,1.282646,0.288448,0.262928,-0.584131,0.290217,0.373037,3.222357,Highway
-1.103385,-0.113978,1.675481,0.253215,-0.794287,-1.73949,-0.579648,-0.08203,0.674679,-0.241351,-0.131341,0.966409,-0.44751,Highway
-0.70885,1.076082,0.067262,1.152932,-0.56123,0.310559,0.452964,1.713626,-0.588262,-0.292663,-0.183852,-0.102115,-0.005688,Highway
3.814261,0.12016,1.210542,0.898685,-2.262344,-1.646219,-0.204273,-0.466253,1.14391,4.413452,-2.089034,0.588694,0.151902,Highway
0.922509,0.633749,0.468457,1.050808,-0.756622,-0.090087,-0.46033,-1.447964,1.730487,0.125583,1.468848,-0.487118,-0.063618,Highway
-0.192689,1.287235,0.275263,1.323819,1.765282,-1.72411,-0.364779,-0.068274,0.626657,0.534297,-0.69508,-0.788069,-0.467563,Highway
4.540356,-1.3863,-1.359867,1.856231,-1.041717,-1.593581,-0.591893,-0.082862,0.606662,-1.279191,-0.514285,0.229575,0.203856,Highway
0.699962,2.788635,-1.280792,0.553516,1.048093,0.848072,-1.253422,-0.326908,-0.031426,-0.139387,-0.550628,-0.494928,-0.082806,Highway
-1.687304,0.850475,0.187017,2.02991,2.021317,0.028813,0.47684,1.687504,0.093093,0.333181,-0.020823,-0.137468,0.627244,Highway
-3.442617,-0.509132,-0.235578,0.755969,2.938682,-1.73006,-0.461604,0.135914,-0.686101,0.546116,1.119364,-0.218994,0.998208,Highway
3.090872,-1.689492,-1.693834,2.37316,-2.634165,0.454726,0.491485,2.101319,-0.763717,0.975769,0.746544,1.144863,-1.041433,Highway
-0.317345,1.463961,-2.030644,0.438228,2.179328,1.206557,0.436275,0.430374,-0.161369,-0.676023,0.050498,-0.039687,0.184793,Highway
0.889549,-1.717786,-2.945088,0.095848,1.344462,-0.488796,-0.382937,-1.156462,-0.182647,0.51988,0.31447,-0.572597,-0.642813,Highway
0.976557,2.088891,-0.173884,-0.079606,0.470739,0.991132,-1.363842,-0.313515,-0.257669,-0.41845,0.060836,-0.138139,-0.336689,Highway
-1.489926,0.947197,1.331883,1.912573,0.022694,-1.432776,-0.577625,-0.081771,-0.716132,-0.266254,1.355688,-0.725262,1.391233,Highway
-2.239033,0.391065,-0.803248,0.734499,1.701678,0.816212,-1.37184,0.008218,-0.842524,-1.215648,0.821428,0.041697,0.400067,Highway
5.883543,-2.129586,-2.127309,1.833198,0.513109,-1.164273,1.330774,0.58869,-0.241784,0.478195,-0.659445,0.053252,-0.570165,Highway
0.697992,1.437293,-0.973839,1.59155,0.873526,-0.397605,-0.42815,-1.429385,0.290983,0.34263,-0.8723,0.746073,-1.137223,Highway
6.762089,-3.463931,1.245716,3.424213,1.03873,0.277139,1.344719,-0.852427,-1.069804,-0.198748,-0.455102,-0.034477,-0.762569,Highway
-0.821547,0.415895,-0.014651,-0.460778,-0.950072,-0.19054,-0.48921,-1.686797,-0.553974,0.51055,-0.829488,-0.669043,-0.236944,Highway
0.016607,0.551404,0.128275,1.572509,0.572893,-0.506254,-1.273574,1.329539,-0.024692,0.239526,-0.905647,1.285606,-0.948624,Highway
-2.247077,0.314762,-0.127713,0.990416,-0.232426,-0.961317,1.207583,0.57153,-1.05798,0.083342,1.143392,-0.153094,1.005471,Highway
2.426221,0.530093,-1.1021,0.453403,1.435344,1.339766,0.552694,0.219115,1.276817,0.427464,-1.053694,-0.394577,0.24513,Highway
-0.746289,-0.091302,4.122066,0.429103,1.477705,-1.825443,-0.588555,-0.239824,0.673847,-0.315432,0.008186,0.310025,0.994353,Highway
-0.96163,0.526992,-0.990704,0.319737,2.251183,1.195713,0.455391,0.474727,0.227974,0.374045,0.802906,0.029065,0.270855,Highway
1.016347,0.27168,1.272432,2.227333,-0.360284,-1.582257,-0.535318,-0.073696,2.078781,-1.821213,-1.425488,-1.225126,-0.891299,Highway
10.701114,-8.13483,1.49615,2.873045,-1.958699,0.058636,-0.752821,-1.742502,-2.329456,-1.152469,-0.01909,0.140734,0.846405,Highway
-0.056171,-0.81977,-1.690396,1.566632,1.695817,1.279842,0.481647,0.586647,0.509316,-0.088444,0.226529,0.570352,-0.358915,Highway
-0.556541,1.615242,0.309113,1.565652,-0.276709,1.057685,-1.351715,-0.240124,-0.632895,0.059784,0.669481,1.08442,0.282756,Highway
-1.22139,-0.578288,-0.155173,1.240147,-0.436789,-1.601081,-0.38421,0.181437,1.067984,0.427086,-0.006655,-0.822785,-1.605719,Highway
-2.113216,-0.767261,1.407764,-0.401732,-0.737453,-0.267093,-1.576166,1.343709,-0.359845,-0.851595,1.389891,0.723469,0.865873,Highway
-2.304405,0.170348,0.235115,0.951083,1.434775,-1.691168,-0.455494,-0.037162,-0.819488,0.157114,-0.587119,-0.580939,-0.00965,Highway
-2.470535,-0.254321,-0.930252,0.045992,1.261186,-1.863245,-0.584873,0.105973,-0.374294,-0.865338,0.053021,0.921621,-0.160723,Highway
1.53295,0.385608,-0.98956,1.521772,0.878004,0.116462,0.529454,1.724717,0.164261,1.013553,0.444699,-0.707379,-0.355069,Highway
9.474472,-4.437871,0.7782,1.954537,0.014424,0.42919,1.368115,-1.12956,-0.622396,-0.756373,-0.592699,-0.762728,1.210552,Highway
-2.207406,0.358104,-0.510642,-0.305791,1.512154,-1.14149,1.14942,0.501611,-0.546626,0.118653,0.608591,-1.493012,0.75205,Highway
1.391672,2.344462,0.935551,1.660336,-1.720986,1.855573,0.675506,0.112897,0.752836,1.207748,-0.146166,0.762318,0.341557,Highway
